门店名称,区,详细地址,经度,纬度
乐刻运动健身(湾谷科技园C7座店),杨浦区,湾谷科技园c7座一楼,121.500975,31.339283
乐刻运动健身(滨江国际广场店)(暂停营业),杨浦区,杨树浦路1056滨江国际广场B1层,121.530558,31.252555
乐刻运动健身(百联滨江购物中心店),杨浦区,平凉路1399号百联滨江购物中心F3层,121.537685,31.264967
乐刻运动健身(紫荆广场店),杨浦区,控江路1628号紫荆广场L4层,121.516717,31.275115
乐刻运动健身(长阳欧尚店),杨浦区,长阳路1750号大润发三楼(宁国路地铁站3号口步行310米),121.537009,31.270188
乐刻健身(嘉宏大橘·印象荟店),松江区,泗宝路41号嘉宏·大橘印象荟泗泾店F4层,121.260575,31.115814
乐刻健身(宝乐汇),松江区,佘月路27号(佘山地铁站2号出口旁)宝乐汇2F层,121.230955,31.104320
乐刻运动健身(九亭地铁站升级馆),松江区,九亭镇沪松公路1501号麦尚城B1,121.319266,31.137156
乐刻运动健身(光星路店),松江区,光星路1599号马利来58号写字楼2楼206A室(精锐至慧学堂二楼),121.240234,31.058805
乐刻运动健身(摩立盛汇广场店),松江区,沪亭北路摩立商业街C区三楼,121.315083,31.148714
乐刻运动健身(松江大学城店),松江区,梅家浜路1500弄1号三湘财富广场2楼,121.230052,31.052987
乐刻运动健身(松江开元广场店),松江区,新松江路925号开元地中海商业广场2F层,121.218928,31.038303
乐刻健身(三林中房金谊广场店),浦东新区,上南路4467弄88号地下1层01室B1059-1,121.513462,31.140511
乐刻健身(三林印象汇店),浦东新区,懿行路188号三林印象汇5F层,121.498212,31.121739
乐刻健身(上海周浦万达广场店),浦东新区,年家浜路518号万达广场上海周浦店4层,121.568556,31.114871
乐刻健身(北蔡YTH艺术生活中心店),浦东新区,陈春路109号佩玛福悦艺术生活中心一楼(达美乐披萨旁向前五十米),121.554254,31.172886
乐刻健身(浦东张江大橘天地店),浦东新区,高科中路2860号2层G03室二楼电梯斜对面,121.638507,31.203713
乐刻健身(证大大拇指广场店),浦东新区,花木街道芳甸路185号201室,121.558929,31.227359
乐刻健身(金桥佳邻坊店),浦东新区,金高路1757号佳邻坊2层,121.609993,31.269811
乐刻健身(金桥翡翠坊店),浦东新区,长岛路1156-1158号金桥翡翠坊B1层,121.592232,31.260833
乐刻健身成山路巴黎春天店,浦东新区,成山路1993号2楼18号,121.535884,31.178889
乐刻运动健身(LCM置汇旭辉广场精品馆),浦东新区,张杨路2389弄4号LCM置汇旭辉广场2楼(嗨街星巴克斜对面),121.554693,31.242678
乐刻运动健身(万嘉商业广场店),浦东新区,东靖东路1881号万嘉商业广场2楼,121.610009,31.293646
乐刻运动健身(万科翡翠公园店),浦东新区,张江高科技园区荣科路280号2049翡翠公园4楼,121.609693,31.178693
乐刻运动健身(上海IDG东方纯一馆),浦东新区,峨山路505号东方纯一大厦2楼,121.523541,31.214810
乐刻运动健身(上海季景路店),浦东新区,上海浦东新区高桥镇季景路24号二楼202,121.586496,31.339903
乐刻运动健身(上海昌里路浦商百货店),浦东新区,昌里路321浦商百货西区4层,121.491415,31.173733
乐刻运动健身(世茂52+店),浦东新区,潍坊西路67号世茂滨江商务区F3层3091A,121.514925,31.223525
乐刻运动健身(临沂百联店),浦东新区,临沂路140号三楼,121.511873,31.195228
乐刻运动健身(乐坊·羽山生活广场店),浦东新区,崮山路717号乐坊生活广场三楼302B乐刻健身,121.560289,31.239372
乐刻运动健身(凌兆路店),浦东新区,凌兆七村东门北140米,121.499018,31.143384
乐刻运动健身(北蔡首铸汗麦商业中心店),浦东新区,沪南路999号首铸汗麦商业中心F2层,121.555125,31.182675
乐刻运动健身(塘桥沃尔玛店),浦东新区,临沂北路252-262号沃尔玛超市1楼,121.517549,31.203545
乐刻运动健身(尚悦湾店),浦东新区,银城路66号尚悦湾商场3楼,121.509794,31.241174
乐刻运动健身(川沙路店),浦东新区,川沙路4611号奇天商厦F2,121.696991,31.198688
乐刻运动健身(康桥新田360店),浦东新区,秀浦路668号新田360广场上海康桥店F6层,121.565612,31.125025
乐刻运动健身(开新里店),浦东新区,北蔡镇御桥路1949号开新里4楼405-2,121.571728,31.158883
乐刻运动健身(恒越华鼎广场店),浦东新区,海阳路693号恒越华鼎广场26-29,121.498734,31.156794
乐刻运动健身(慧华里店),浦东新区,花木街道杨高南路1681-1687号慧华里商场3楼316商铺,121.527786,31.194741
乐刻运动健身(成山路家乐福店),浦东新区,成山路1111号D11广场2楼,121.520136,31.175294
乐刻运动健身(新大陆商业广场店),浦东新区,南泉北路588号(商城路地铁站2号口步行280米),121.518025,31.228947
乐刻运动健身(新紫茂商业广场店),浦东新区,金桥镇巨峰路1058弄2号楼205室,121.608721,31.279838
乐刻运动健身(永泰路容居公寓升级馆),浦东新区,泰环路195号一层102-2号,121.527305,31.141632
乐刻运动健身(汤臣金融店),浦东新区,东方路710号汤臣金融大厦B1,121.524941,31.229064
乐刻运动健身(浦东五莲路融创店),浦东新区,归昌路258-260号208室(融创精彩天地B座2楼)乐刻健身,121.598452,31.277012
乐刻运动健身(浦东南路一店),浦东新区,浦东南路3925号(云台路地铁站3号口步行230米),121.501585,31.183033
乐刻运动健身(浦商百货博山店),浦东新区,博山东路88号浦商百货4楼,121.560717,31.247724
乐刻运动健身(盛夏路店),浦东新区,盛夏路61弄3号103室(金秋路158号),121.629922,31.215192
乐刻运动健身(花木陆悦坊店),浦东新区,花木街道锦康路480号403室(花木陆悦坊4楼),121.536341,31.208811
乐刻运动健身(西营路店),浦东新区,西营路与成山路交叉口南60米,121.483800,31.169071
乐刻运动健身(金杨路店),浦东新区,金杨路618号2层B216室,121.581331,31.250555
乐刻运动健身(金桥lalaport精品馆),浦东新区,新金桥路738号四楼乐刻运动,121.604053,31.253664
乐刻运动健身(长清森宏广场店),浦东新区,三林镇长清路1200弄森宏旗臻36号楼2楼,121.491114,31.148955
乐刻运动健身(阳光天地店),浦东新区,高科东路777号阳光天地购物中心唐镇店B1层,121.656504,31.214210
乐刻运动健身(陆家嘴软件园店),浦东新区,峨山路91弄94号,121.531504,31.217374
乐刻运动健身(高桥新城店),浦东新区,高荷路492号2层,121.577443,31.337395
乐刻运动健身(高青路浦乐汇店),浦东新区,高青路3278号浦乐汇3楼304-305号商铺,121.537642,31.163613
乐刻运动健身(龙阳广场店),浦东新区,龙阳路2000号龙阳广场4层,121.557575,31.203075
乐刻运动陆家嘴金融街区精品馆,浦东新区,灵山路1000弄2号楼1层(上海星公馆旁),121.556957,31.234363
乐刻健身(凯德虹口商业中心B座店),虹口区,西江湾路388号凯德龙之梦B座4层银座印象旁边,121.477185,31.271388
乐刻健身(北外滩金茂中心店),虹口区,东长治路919号B1(提篮桥地铁站4号口步行170米),121.504213,31.253280
乐刻健身(赤峰路店),虹口区,地铁站2层CD209号,121.482462,31.281858
乐刻健身PLUS馆,虹口区,海伦金融中心A座3楼,121.489375,31.258562
乐刻运动健身(上滨生活广场店),虹口区,周家嘴路917号上滨生活广场3F层,121.503485,31.260285
乐刻运动健身(宏慧新里店),虹口区,东宝兴路777号宏慧·新里F2层,121.474918,31.263111
乐刻运动健身(招商外滩玺店),虹口区,嘉兴路街道金田路65弄招商外滩玺2楼,121.495110,31.255332
乐刻运动健身(瑞虹新天地月亮湾精品店),虹口区,瑞虹路188号瑞虹新天地月亮湾L1层,121.498389,31.264958
乐刻运动健身(纪念路店),虹口区,纪念路301号宝丰联大酒店二楼,121.487448,31.297896
乐刻健身(BINGO缤谷广场店),长宁区,仙霞新村街道天山路341号3幢406A室(缤谷广场西座4层),121.386004,31.214626
乐刻健身(春秋国际大厦店),长宁区,昭化路699号春秋国际大厦1层,121.419027,31.211965
乐刻运动健身(万都中心店),长宁区,兴义路8号S315S317A室,121.405522,31.204641
乐刻运动健身(东华大学科技园店),长宁区,金钟路658号东华大学科技园17号楼1层,121.358583,31.222736
乐刻运动健身(中山公园龙之梦精品馆),长宁区,长宁路1018号中山公园龙之梦9楼(天山电影院旁),121.416923,31.219401
